Id,latitude,longitude,# Result,Label,Weight
60,63.339846,154.363598,-0.07898,43,0.07898
61,66.553118,155.858733,-0.06722,10,0.06722
62,71.364005,162.088636,-0.06722,4,0.06722
63,75.615591,156.206802,-0.06722,10,0.06722
64,70.149781,150.909929,-0.06722,4,0.06722
65,47.829178,144.250915,-0.08068,105,0.08068
66,51.632422,146.405822,-0.08068,104,0.08068
67,54.305337,147.157026,-0.08069,106,0.08069
68,56.599372,147.347165,-0.0807,107,0.0807
69,58.667882,147.426129,-0.0806,101,0.0806
70,49.839052,140.931279,-0.08063,103,0.08063
71,53.220114,142.668503,-0.08057,100,0.08057
72,56.674246,143.192164,-0.08024,99,0.08024
73,58.489267,143.265934,-0.08005,95,0.08005
74,58.556022,145.372007,-0.07983,47,0.07983
75,71.292739,157.0058,-0.06722,10,0.06722
76,63.534699,146.112821,-0.07522,41,0.07522
77,69.000509,146.143991,-0.07147,13,0.07147
78,69.55981,141.314673,-0.07361,14,0.07361
79,65.134118,140.556196,-0.07456,40,0.07456
80,60.625434,139.667843,-0.07442,39,0.07442
81,58.480246,139.900581,-0.0744,32.5,0.0744
82,54.618365,139.430948,-0.07441,35,0.07441
83,50.871051,138.213229,-0.07441,37,0.07441
84,51.121835,135.181398,-0.07441,37,0.07441
85,57.855092,165.569319,-0.07992,53.5,0.07992
86,56.206057,135.50453,-0.07441,37,0.07441
87,58.188868,135.428682,-0.0744,32.5,0.0744
88,51.514247,132.056056,-0.07437,22,0.07437
89,52.059114,165.613997,-0.07994,69,0.07994
90,55.093771,131.402519,-0.07438,24,0.07438
91,56.67154,130.466371,-0.07439,30.5,0.07439
92,53.060443,126.277084,-0.07435,19,0.07435
93,54.208813,123.710729,-0.07436,21,0.07436
94,67.265775,153.66954,-0.06722,4,0.06722
95,56.786106,125.05313,-0.07437,23,0.07437
96,59.434665,121.35945,-0.07439,27.5,0.07439
97,59.356182,126.34358,-0.07439,27.5,0.07439
98,59.109008,128.742654,-0.07439,27.5,0.07439
99,64.165265,121.774015,-0.07438,25,0.07438
100,61.520315,129.36606,-0.07439,30.5,0.07439
101,66.860733,122.991734,-0.07435,19,0.07435
102,70.717201,125.9872,-0.0743,16,0.0743
103,73.731109,133.42651,-0.07418,15,0.07418
104,65.752957,131.133416,-0.07435,19,0.07435
105,67.353279,132.186972,-0.07431,17,0.07431
106,73.74013,159.725928,-0.06722,7.5,0.06722
107,72.211977,149.379468,-0.06722,4,0.06722
108,75.289032,150.265743,-0.06722,12,0.06722
109,73.263823,154.261775,-0.06722,7.5,0.06722
110,69.627467,148.310327,-0.06722,4,0.06722
111,50.256723,157.716483,-0.07994,76.5,0.07994
112,52.324331,144.574047,-0.08063,102,0.08063
113,60.710231,133.073247,-0.07439,27.5,0.07439
114,71.383851,147.460417,-17.45,,
