 Node ID,NoLeak,L8-0.15,D8-0.15,L8-0.25,D8-0.25,R8-0.15,R8-0.25
45,47.97971,47.89557,0.08414,47.83952,0.14019,47,47
46,48.32199,48.23925,0.08274,48.18412,0.13787,53,53
47,48.15958,48.07619,0.08339,48.02065,0.13893,50.5,51
48,48.15923,48.07584,0.08339,48.0203,0.13893,50.5,50
49,47.21481,47.12748,0.08733,47.06931,0.1455,29,29
50,47.18647,47.099,0.08747,47.04074,0.14573,26,26
51,47.17747,47.08996,0.08751,47.03167,0.1458,23,23
52,49.54483,49.46714,0.07769,49.4154,0.12943,61,60.5
53,55.2028,55.1372,0.0656,55.09351,0.10929,105.5,111
54,49.54219,49.46448,0.07771,49.41272,0.12947,59,59
55,49.5372,49.45944,0.07776,49.40765,0.12955,58,58
56,49.53343,49.45563,0.0778,49.4038,0.12963,57,57
57,49.53261,49.45479,0.07782,49.40295,0.12966,56,56
58,49.51564,49.43762,0.07802,49.38565,0.12999,55,55
59,50.15133,50.0741,0.07723,50.02265,0.12868,70,70
60,49.12862,49.04823,0.08039,48.99468,0.13394,54,54
61,55.20259,55.13699,0.0656,55.09329,0.1093,105.5,105.5
62,55.20297,55.13737,0.0656,55.09367,0.1093,105.5,105.5
63,55.20354,55.13794,0.0656,55.09424,0.1093,111.5,105.5
64,55.21687,55.15127,0.0656,55.10758,0.10929,105.5,111
65,49.55054,49.47288,0.07766,49.42115,0.12939,64,64
66,49.55063,49.47297,0.07766,49.42123,0.1294,63,63
67,49.55154,49.47386,0.07768,49.42213,0.12941,62,62
68,49.55404,49.47635,0.07769,49.42461,0.12943,60,60.5
69,49.58786,49.51027,0.07759,49.45858,0.12928,67,67
70,49.55849,49.48087,0.07762,49.42917,0.12932,66,66
71,49.56987,49.4923,0.07757,49.44064,0.12923,68,68
72,49.64245,49.56519,0.07726,49.51372,0.12873,69,69
73,49.68735,49.61025,0.0771,49.5589,0.12845,71,71
74,49.73668,49.65977,0.07691,49.60854,0.12814,72,72
75,55.20349,55.13789,0.0656,55.09419,0.1093,105.5,102
76,50.74335,50.67057,0.07278,50.62209,0.12126,73,73
77,52.69014,52.62072,0.06942,52.57449,0.11565,101,101
78,51.16419,51.09286,0.07133,51.04535,0.11884,100,100
79,50.64279,50.57061,0.07218,50.52253,0.12026,74,74
80,50.29806,50.226,0.07206,50.17801,0.12005,75,75
81,50.23468,50.16264,0.07204,50.11466,0.12002,83.5,82.5
82,50.20786,50.13582,0.07204,50.08783,0.12003,83.5,76
83,50.2051,50.13306,0.07204,50.08508,0.12002,78.5,78
84,50.20467,50.13263,0.07204,50.08465,0.12002,78.5,82.5
85,47.3395,47.25286,0.08664,47.19515,0.14435,41,41
86,50.20647,50.13444,0.07203,50.08646,0.12001,87.5,88.5
87,50.21118,50.13915,0.07203,50.09116,0.12002,91.5,82.5
88,50.20459,50.13256,0.07203,50.08458,0.12001,87.5,88.5
89,47.1922,47.10472,0.08748,47.04644,0.14576,25,25
90,50.20645,50.13441,0.07204,50.08643,0.12002,83.5,82.5
91,50.21157,50.13953,0.07204,50.09155,0.12002,78.5,78
92,50.20634,50.1343,0.07204,50.08633,0.12001,83.5,88.5
93,50.20805,50.13601,0.07204,50.08803,0.12002,78.5,82.5
94,55.20441,55.13881,0.0656,55.09512,0.10929,105.5,111
95,50.211,50.13896,0.07204,50.09098,0.12002,78.5,82.5
96,50.22863,50.1566,0.07203,50.10862,0.12001,87.5,88.5
97,50.22033,50.1483,0.07203,50.10032,0.12001,91.5,92
98,50.22731,50.15528,0.07203,50.1073,0.12001,87.5,88.5
99,50.28954,50.21752,0.07202,50.16955,0.11999,94,94
100,50.27926,50.20723,0.07203,50.15926,0.12,91.5,93
101,50.36381,50.29182,0.07199,50.24387,0.11994,95.5,96
102,50.42359,50.35163,0.07196,50.30371,0.11988,98,98
103,50.55283,50.48099,0.07184,50.43314,0.11969,99,99
104,50.40206,50.33007,0.07199,50.28211,0.11995,95.5,95
105,50.42392,50.35196,0.07196,50.30404,0.11988,97,97
106,55.20327,55.13767,0.0656,55.09398,0.10929,105.5,111
107,55.21321,55.14761,0.0656,55.10391,0.1093,111.5,105.5
108,55.20888,55.14328,0.0656,55.09958,0.1093,105.5,105.5
109,55.20581,55.14021,0.0656,55.09652,0.10929,111.5,111
110,55.26745,55.20185,0.0656,55.15815,0.1093,111.5,105.5
111,47.22454,47.13724,0.0873,47.07909,0.14545,30,30
112,49.55718,49.47956,0.07762,49.42785,0.12933,65,65
113,50.27688,50.20485,0.07203,50.15687,0.12001,91.5,88.5
Total,11153.41,11135.51,17.9,11123.59,29.82,,
