Id,latitude,longitude,# Result,Label,Weight
64,70.149781,150.909929,-0.06558,1,0.06558
65,47.829178,144.250915,-0.07764,50,0.07764
66,51.632422,146.405822,-0.07765,51,0.07765
67,54.305337,147.157026,-0.07766,52,0.07766
68,56.599372,147.347165,-0.07767,53.5,0.07767
69,58.667882,147.426129,-0.07758,47,0.07758
70,49.839052,140.931279,-0.0776,48,0.0776
71,53.220114,142.668503,-0.07755,46,0.07755
72,56.674246,143.192164,-0.07725,45,0.07725
73,58.489267,143.265934,-0.07708,43,0.07708
74,58.556022,145.372007,-0.07689,42,0.07689
75,71.292739,157.0058,-0.06559,6,0.06559
76,63.534699,146.112821,-0.07276,41,0.07276
77,69.000509,146.143991,-0.0694,13,0.0694
78,69.55981,141.314673,-0.07131,14,0.07131
79,65.134118,140.556196,-0.07216,40,0.07216
80,60.625434,139.667843,-0.07204,39,0.07204
81,58.480246,139.900581,-0.07202,27.5,0.07202
82,54.618365,139.430948,-0.07203,34.5,0.07203
83,50.871051,138.213229,-0.07203,34.5,0.07203
84,51.121835,135.181398,-0.07203,34.5,0.07203
85,57.855092,165.569319,-0.08658,73,0.08658
86,56.206057,135.50453,-0.07203,34.5,0.07203
87,58.188868,135.428682,-0.07202,27.5,0.07202
88,51.514247,132.056056,-0.07202,27.5,0.07202
89,52.059114,165.613997,-0.08742,87,0.08742
90,55.093771,131.402519,-0.07202,23,0.07202
91,56.67154,130.466371,-0.07203,34.5,0.07203
92,53.060443,126.277084,-0.07202,27.5,0.07202
93,54.208813,123.710729,-0.07203,34.5,0.07203
94,67.265775,153.66954,-0.06559,6,0.06559
95,56.786106,125.05313,-0.07202,31,0.07202
96,59.434665,121.35945,-0.07202,23,0.07202
97,59.356182,126.34358,-0.07202,27.5,0.07202
98,59.109008,128.742654,-0.07201,20,0.07201
99,64.165265,121.774015,-0.07201,21,0.07201
100,61.520315,129.36606,-0.07202,23,0.07202
101,66.860733,122.991734,-0.07197,18,0.07197
102,70.717201,125.9872,-0.07194,16,0.07194
103,73.731109,133.42651,-0.07182,15,0.07182
104,65.752957,131.133416,-0.07198,19,0.07198
105,67.353279,132.186972,-0.07195,17,0.07195
106,73.74013,159.725928,-0.06559,3,0.06559
107,72.211977,149.379468,-0.06559,6,0.06559
108,75.289032,150.265743,-0.06559,10.5,0.06559
109,73.263823,154.261775,-0.06559,10.5,0.06559
110,69.627467,148.310327,-0.06559,6,0.06559
111,50.256723,157.716483,-0.08734,85,0.08734
112,52.324331,144.574047,-0.07761,49,0.07761
113,60.710231,133.073247,-0.07202,27.5,0.07202
114,71.383851,147.460417,-17.91,,
