Source,Target,Weight
325,330,380
336,337,206
334,345,616
152,153,347
256001,258001,249
258001,257001,184
257001,264,141
264,260001,75
265,268,227
268,274,397
274,277,162
405,404,177
400,399,70
404,399,350
399,396001,350
220,215001,820
75,73,175
83,84,169
83,86,135
86,87,213
89,87,474
229,75,280
202001,82,1800
250001,412,611
43,417,354
269,271,209
234001,235,500
234001,238,400
238,240,44
239,189,300
250002,44,800
43,422,345
250004,413,750
23,24,103.6
24,24001,219
24001,25,214
46001,45001,80
71,71001,23
71001,72,121
127,127001,100
127001,128,102
301001,366,52
365,301001,116
301001,301,79
303,304,82
304,305,157
422,180,381
322,324,363
385,88,2500
13,385,752
123,82,100
135,141,177
150,71,500
370,371,100
256001,254,500
266,38,200
