Source,Target,Weight,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00
15,18,10.93196,10.92894,10.92894,10.92894,10.92894,10.92894,10.92894,10.92894,10.92894,10.92894
19,18,15.23253,15.23306,15.23306,15.23306,15.23306,15.23306,15.23306,15.23306,15.23306,15.23306
14,19,-2.420783,-2.423326,-2.423326,-2.423326,-2.423326,-2.423326,-2.423326,-2.423326,-2.423326,-2.423326
20,19,20.2871,20.28639,20.28639,20.28639,20.28639,20.28639,20.28639,20.28639,20.28639,20.28639
21,20,4.079503,4.078597,4.078597,4.078597,4.078597,4.078597,4.078597,4.078597,4.078597,4.078597
11,21,-14.87105,-14.87137,-14.87137,-14.87137,-14.87137,-14.87137,-14.87137,-14.87137,-14.87137,-14.87137
22,21,13.25867,13.25796,13.25796,13.25796,13.25796,13.25796,13.25796,13.25796,13.25796,13.25796
22,9,6.285395,6.286097,6.286097,6.286097,6.286097,6.286097,6.286097,6.286097,6.286097,6.286097
23,22,31.32423,31.32406,31.32406,31.32406,31.32406,31.32406,31.32406,31.32406,31.32406,31.32406
8,23,-11.37532,-11.37526,-11.37526,-11.37526,-11.37526,-11.37526,-11.37526,-11.37526,-11.37526,-11.37526
24,23,26.73107,26.73088,26.73088,26.73088,26.73088,26.73088,26.73088,26.73088,26.73088,26.73088
6,24,-15.53157,-15.53145,-15.53145,-15.53145,-15.53145,-15.53145,-15.53145,-15.53145,-15.53145,-15.53145
25,89,63.36805,63.36798,63.36798,63.36798,63.36798,63.36798,63.36798,63.36798,63.36798,63.36798
26,25,74.93605,74.93598,74.93598,74.93598,74.93598,74.93598,74.93598,74.93598,74.93598,74.93598
4,26,-22.84733,-22.84728,-22.84728,-22.84728,-22.84728,-22.84728,-22.84728,-22.84728,-22.84728,-22.84728
27,85,90.67787,90.67783,90.67783,90.67783,90.67783,90.67783,90.67783,90.67783,90.67783,90.67783
3,27,-67.09386,-67.09415,-67.09415,-67.09415,-67.09415,-67.09415,-67.09415,-67.09415,-67.09415,-67.09415
28,34,116.4133,116.4136,116.4136,116.4136,116.4136,116.4136,116.4136,116.4136,116.4136,116.4136
29,28,121.3733,121.3736,121.3736,121.3736,121.3736,121.3736,121.3736,121.3736,121.3736,121.3736
30,29,126.1353,126.1356,126.1356,126.1356,126.1356,126.1356,126.1356,126.1356,126.1356,126.1356
30,31,117.3839,117.3835,117.3835,117.3835,117.3835,117.3835,117.3835,117.3835,117.3835,117.3835
31,32,188.7855,188.7854,188.7854,188.7854,188.7854,188.7854,188.7854,188.7854,188.7854,188.7854
32,27,72.89838,72.89838,72.89838,72.89838,72.89838,72.89838,72.89838,72.89838,72.89838,72.89838
32,33,108.8591,108.859,108.859,108.859,108.859,108.859,108.859,108.859,108.859,108.859
33,26,34.15156,34.15143,34.15143,34.15143,34.15143,34.15143,34.15143,34.15143,34.15143,34.15143
33,35,64.69354,64.69358,64.69358,64.69358,64.69358,64.69358,64.69358,64.69358,64.69358,64.69358
34,27,105.3753,105.3756,105.3756,105.3756,105.3756,105.3756,105.3756,105.3756,105.3756,105.3756
35,36,55.92155,55.92158,55.92158,55.92158,55.92158,55.92158,55.92158,55.92158,55.92158,55.92158
36,24,41.12659,41.12634,41.12634,41.12634,41.12634,41.12634,41.12634,41.12634,41.12634,41.12634
36,37,41.75652,41.75619,41.75619,41.75619,41.75619,41.75619,41.75619,41.75619,41.75619,41.75619
37,23,24.44448,24.44444,24.44444,24.44444,24.44444,24.44444,24.44444,24.44444,24.44444,24.44444
37,38,29.29149,29.29103,29.29103,29.29103,29.29103,29.29103,29.29103,29.29103,29.29103,29.29103
38,21,22.89594,22.896,22.896,22.896,22.896,22.896,22.896,22.896,22.896,22.896
38,39,11.16758,11.16704,11.16704,11.16704,11.16704,11.16704,11.16704,11.16704,11.16704,11.16704
39,20,21.31961,21.31979,21.31979,21.31979,21.31979,21.31979,21.31979,21.31979,21.31979,21.31979
40,39,14.64204,14.64275,14.64275,14.64275,14.64275,14.64275,14.64275,14.64275,14.64275,14.64275
41,40,15.15053,15.14955,15.14955,15.14955,15.14955,15.14955,15.14955,15.14955,15.14955,15.14955
41,38,18.57405,18.57402,18.57402,18.57402,18.57402,18.57402,18.57402,18.57402,18.57402,18.57402
42,41,33.91286,33.91211,33.91211,33.91211,33.91211,33.91211,33.91211,33.91211,33.91211,33.91211
42,37,19.52743,19.52728,19.52728,19.52728,19.52728,19.52728,19.52728,19.52728,19.52728,19.52728
111,42,62.8063,62.80538,62.80538,62.80538,62.80538,62.80538,62.80538,62.80538,62.80538,62.80538
43,36,42.11557,42.11496,42.11496,42.11496,42.11496,42.11496,42.11496,42.11496,42.11496,42.11496
44,43,174.2991,174.299,174.299,174.299,174.299,174.299,174.299,174.299,174.299,174.299
45,44,178.8051,178.805,178.805,178.805,178.805,178.805,178.805,178.805,178.805,178.805
31,45,68.48624,68.4861,68.4861,68.4861,68.4861,68.4861,68.4861,68.4861,68.4861,68.4861
46,31,147.9498,147.95,147.95,147.95,147.95,147.95,147.95,147.95,147.95,147.95
46,47,123.0108,123.0109,123.0109,123.0109,123.0109,123.0109,123.0109,123.0109,123.0109,123.0109
47,45,114.7308,114.7309,114.7309,114.7309,114.7309,114.7309,114.7309,114.7309,114.7309,114.7309
47,48,4.054873,4.054,4.054,4.054,4.054,4.054,4.054,4.054,4.054,4.054
49,43,-47.93727,-47.93866,-47.93866,-47.93866,-47.93866,-47.93866,-47.93866,-47.93866,-47.93866,-47.93866
49,50,40.57328,40.57466,40.57466,40.57466,40.57466,40.57466,40.57466,40.57466,40.57466,40.57466
50,41,11.65549,11.64946,11.64946,11.64946,11.64946,11.64946,11.64946,11.64946,11.64946,11.64946
50,51,17.66349,17.6652,17.6652,17.6652,17.6652,17.6652,17.6652,17.6652,17.6652,17.6652
51,40,5.844539,5.839199,5.839199,5.839199,5.839199,5.839199,5.839199,5.839199,5.839199,5.839199
54,52,-9.235657,-9.235077,-9.235077,-9.235077,-9.235077,-9.235077,-9.235077,-9.235077,-9.235077,-9.235077
62,53,2.459059,2.458704,2.458704,2.458704,2.458704,2.458704,2.458704,2.458704,2.458704,2.458704
55,54,-20.9176,-20.91706,-20.91706,-20.91706,-20.91706,-20.91706,-20.91706,-20.91706,-20.91706,-20.91706
56,55,-17.23815,-17.23708,-17.23708,-17.23708,-17.23708,-17.23708,-17.23708,-17.23708,-17.23708,-17.23708
57,56,-6.592294,-6.589499,-6.589499,-6.589499,-6.589499,-6.589499,-6.589499,-6.589499,-6.589499,-6.589499
58,57,-37.38662,-37.38672,-37.38672,-37.38672,-37.38672,-37.38672,-37.38672,-37.38672,-37.38672,-37.38672
58,46,275.8626,275.8629,275.8629,275.8629,275.8629,275.8629,275.8629,275.8629,275.8629,275.8629
59,58,174.7107,174.7096,174.7096,174.7096,174.7096,174.7096,174.7096,174.7096,174.7096,174.7096
60,30,250.9553,250.9551,250.9551,250.9551,250.9551,250.9551,250.9551,250.9551,250.9551,250.9551
59,60,263.3453,263.3451,263.3451,263.3451,263.3451,263.3451,263.3451,263.3451,263.3451,263.3451
53,61,2.560349,2.558795,2.558795,2.558795,2.558795,2.558795,2.558795,2.558795,2.558795,2.558795
63,106,7.406897,7.406691,7.406691,7.406691,7.406691,7.406691,7.406691,7.406691,7.406691,7.406691
109,75,10.56331,10.56343,10.56343,10.56343,10.56343,10.56343,10.56343,10.56343,10.56343,10.56343
64,94,23.4905,23.49002,23.49002,23.49002,23.49002,23.49002,23.49002,23.49002,23.49002,23.49002
110,64,65.23891,65.23823,65.23823,65.23823,65.23823,65.23823,65.23823,65.23823,65.23823,65.23823
110,59,453.65,453.6487,453.6487,453.6487,453.6487,453.6487,453.6487,453.6487,453.6487,453.6487
52,65,-16.4076,-16.40708,-16.40708,-16.40708,-16.40708,-16.40708,-16.40708,-16.40708,-16.40708,-16.40708
54,66,-20.61206,-20.61198,-20.61198,-20.61198,-20.61198,-20.61198,-20.61198,-20.61198,-20.61198,-20.61198
57,68,-37.74297,-37.74359,-37.74359,-37.74359,-37.74359,-37.74359,-37.74359,-37.74359,-37.74359,-37.74359
58,69,-75.5281,-75.52866,-75.52866,-75.52866,-75.52866,-75.52866,-75.52866,-75.52866,-75.52866,-75.52866
66,65,1.509926,1.517576,1.517576,1.517576,1.517576,1.517576,1.517576,1.517576,1.517576,1.517576
67,66,6.781744,6.780628,6.780628,6.780628,6.780628,6.780628,6.780628,6.780628,6.780628,6.780628
68,67,12.91654,12.91463,12.91463,12.91463,12.91463,12.91463,12.91463,12.91463,12.91463,12.91463
69,68,55.77443,55.77422,55.77422,55.77422,55.77422,55.77422,55.77422,55.77422,55.77422,55.77422
65,70,-19.17789,-19.17751,-19.17751,-19.17751,-19.17751,-19.17751,-19.17751,-19.17751,-19.17751,-19.17751
66,112,-25.27466,-25.27493,-25.27493,-25.27493,-25.27493,-25.27493,-25.27493,-25.27493,-25.27493,-25.27493
94,75,4.961535,4.960742,4.960742,4.960742,4.960742,4.960742,4.960742,4.960742,4.960742,4.960742
74,73,73.04173,73.04243,73.04243,73.04243,73.04243,73.04243,73.04243,73.04243,73.04243,73.04243
69,74,-134.3965,-134.3969,-134.3969,-134.3969,-134.3969,-134.3969,-134.3969,-134.3969,-134.3969,-134.3969
71,70,22.61321,22.61351,22.61351,22.61351,22.61351,22.61351,22.61351,22.61351,22.61351,22.61351
72,71,63.51577,63.51643,63.51643,63.51643,63.51643,63.51643,63.51643,63.51643,63.51643,63.51643
73,72,69.69576,69.69643,69.69643,69.69643,69.69643,69.69643,69.69643,69.69643,69.69643,69.69643
82,83,10.23488,10.23567,10.23567,10.23567,10.23567,10.23567,10.23567,10.23567,10.23567,10.23567
81,82,34.93402,34.93255,34.93255,34.93255,34.93255,34.93255,34.93255,34.93255,34.93255,34.93255
80,81,76.58517,76.58228,76.58228,76.58228,76.58228,76.58228,76.58228,76.58228,76.58228,76.58228
76,74,213.6161,213.6173,213.6173,213.6173,213.6173,213.6173,213.6173,213.6173,213.6173,213.6173
79,80,125.8831,125.8808,125.8808,125.8808,125.8808,125.8808,125.8808,125.8808,125.8808,125.8808
76,79,61.55146,61.54977,61.54977,61.54977,61.54977,61.54977,61.54977,61.54977,61.54977,61.54977
78,79,159.2471,159.2466,159.2466,159.2466,159.2466,159.2466,159.2466,159.2466,159.2466,159.2466
77,78,292.1694,292.1703,292.1703,292.1703,292.1703,292.1703,292.1703,292.1703,292.1703,292.1703
77,76,294.4105,294.411,294.411,294.411,294.411,294.411,294.411,294.411,294.411,294.411
110,77,592.5178,592.5193,592.5193,592.5193,592.5193,592.5193,592.5193,592.5193,592.5193,592.5193
83,84,4.640833,4.641666,4.641666,4.641666,4.641666,4.641666,4.641666,4.641666,4.641666,4.641666
82,86,7.17689,7.174886,7.174886,7.174886,7.174886,7.174886,7.174886,7.174886,7.174886,7.174886
81,87,32.58504,32.58372,32.58372,32.58372,32.58372,32.58372,32.58372,32.58372,32.58372,32.58372
85,26,71.57988,71.57983,71.57983,71.57983,71.57983,71.57983,71.57983,71.57983,71.57983,71.57983
86,84,7.056827,7.060772,7.060772,7.060772,7.060772,7.060772,7.060772,7.060772,7.060772,7.060772
87,86,19.68182,19.67853,19.67853,19.67853,19.67853,19.67853,19.67853,19.67853,19.67853,19.67853
84,88,1.686613,1.694438,1.694438,1.694438,1.694438,1.694438,1.694438,1.694438,1.694438,1.694438
90,88,8.526434,8.529873,8.529873,8.529873,8.529873,8.529873,8.529873,8.529873,8.529873,8.529873
89,24,14.26404,14.26398,14.26398,14.26398,14.26398,14.26398,14.26398,14.26398,14.26398,14.26398
86,90,0.863914,0.860641,0.860641,0.860641,0.860641,0.860641,0.860641,0.860641,0.860641,0.860641
91,90,21.84019,21.83947,21.83947,21.83947,21.83947,21.83947,21.83947,21.83947,21.83947,21.83947
87,91,-3.143448,-3.140806,-3.140806,-3.140806,-3.140806,-3.140806,-3.140806,-3.140806,-3.140806,-3.140806
91,98,-30.9888,-30.98628,-30.98628,-30.98628,-30.98628,-30.98628,-30.98628,-30.98628,-30.98628,-30.98628
100,98,63.84602,63.84711,63.84711,63.84711,63.84711,63.84711,63.84711,63.84711,63.84711,63.84711
113,100,-10.21462,-10.21344,-10.21344,-10.21344,-10.21344,-10.21344,-10.21344,-10.21344,-10.21344,-10.21344
104,100,73.53957,73.54053,73.54053,73.54053,73.54053,73.54053,73.54053,73.54053,73.54053,73.54053
79,104,75.18666,75.18749,75.18749,75.18749,75.18749,75.18749,75.18749,75.18749,75.18749,75.18749
105,104,46.87562,46.87576,46.87576,46.87576,46.87576,46.87576,46.87576,46.87576,46.87576,46.87576
103,105,60.8504,60.85009,60.85009,60.85009,60.85009,60.85009,60.85009,60.85009,60.85009,60.85009
78,103,125.2762,125.2777,125.2777,125.2777,125.2777,125.2777,125.2777,125.2777,125.2777,125.2777
88,92,-6.817855,-6.809691,-6.809691,-6.809691,-6.809691,-6.809691,-6.809691,-6.809691,-6.809691,-6.809691
90,92,1.528889,1.522239,1.522239,1.522239,1.522239,1.522239,1.522239,1.522239,1.522239,1.522239
92,93,-9.982675,-9.987453,-9.987453,-9.987453,-9.987453,-9.987453,-9.987453,-9.987453,-9.987453,-9.987453
96,93,24.03167,24.03348,24.03348,24.03348,24.03348,24.03348,24.03348,24.03348,24.03348,24.03348
95,93,12.63506,12.62198,12.62198,12.62198,12.62198,12.62198,12.62198,12.62198,12.62198,12.62198
97,95,23.62303,23.62598,23.62598,23.62598,23.62598,23.62598,23.62598,23.62598,23.62598,23.62598
97,96,-17.53359,-17.53315,-17.53315,-17.53315,-17.53315,-17.53315,-17.53315,-17.53315,-17.53315,-17.53315
98,97,23.43599,23.43883,23.43883,23.43883,23.43883,23.43883,23.43883,23.43883,23.43883,23.43883
99,96,48.7567,48.75863,48.75863,48.75863,48.75863,48.75863,48.75863,48.75863,48.75863,48.75863
100,99,-15.05777,-15.05602,-15.05602,-15.05602,-15.05602,-15.05602,-15.05602,-15.05602,-15.05602,-15.05602
101,99,71.04716,71.04865,71.04865,71.04865,71.04865,71.04865,71.04865,71.04865,71.04865,71.04865
104,101,29.98683,29.98272,29.98272,29.98272,29.98272,29.98272,29.98272,29.98272,29.98272,29.98272
102,101,48.90153,48.89993,48.89993,48.89993,48.89993,48.89993,48.89993,48.89993,48.89993,48.89993
105,102,2.508804,2.50233,2.50233,2.50233,2.50233,2.50233,2.50233,2.50233,2.50233,2.50233
103,102,54.40418,54.4056,54.4056,54.4056,54.4056,54.4056,54.4056,54.4056,54.4056,54.4056
75,106,2.798163,2.79804,2.79804,2.79804,2.79804,2.79804,2.79804,2.79804,2.79804,2.79804
64,107,15.25028,15.25031,15.25031,15.25031,15.25031,15.25031,15.25031,15.25031,15.25031,15.25031
107,108,14.32227,14.32231,14.32231,14.32231,14.32231,14.32231,14.32231,14.32231,14.32231,14.32231
108,109,10.67025,10.6703,10.6703,10.6703,10.6703,10.6703,10.6703,10.6703,10.6703,10.6703
64,109,20.29583,20.29587,20.29587,20.29587,20.29587,20.29587,20.29587,20.29587,20.29587,20.29587
109,63,10.83069,10.8307,10.8307,10.8307,10.8307,10.8307,10.8307,10.8307,10.8307,10.8307
75,53,5.808292,5.808111,5.808111,5.808111,5.808111,5.808111,5.808111,5.808111,5.808111,5.808111
94,61,11.57949,11.57726,11.57726,11.57726,11.57726,11.57726,11.57726,11.57726,11.57726,11.57726
106,62,6.770947,6.770719,6.770719,6.770719,6.770719,6.770719,6.770719,6.770719,6.770719,6.770719
43,111,77.50631,77.50539,77.50539,77.50539,77.50539,77.50539,77.50539,77.50539,77.50539,77.50539
112,71,-34.57658,-34.57693,-34.57693,-34.57693,-34.57693,-34.57693,-34.57693,-34.57693,-34.57693,-34.57693
13,113,10.8494,10.85056,10.85056,10.85056,10.85056,10.85056,10.85056,10.85056,10.85056,10.85056
110,114,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406,-1111.406
